,lat,lon,labels
1678,28.5689757,77.1627474,12
1679,28.5689757,77.2358486,2
1680,28.5689873,77.2408267,2
1681,28.5690063,77.2219434,2
1682,28.5690321,77.1628161,12
1683,28.5690367,77.1618988,12
1684,28.5690541,77.164522,12
1685,28.5690874,77.2441454,2
1686,28.5691433,77.2193166,2
1687,28.5691541,77.2051064,11
1688,28.5691678,77.2375817,2
1689,28.5691758,77.2405932,2
1690,28.5691897,77.1582055,12
1691,28.5691973,77.2436724,2
1692,28.5692131,77.2175752,2
1693,28.5692288,77.220737,2
1694,28.5692296,77.2485437,2
1695,28.5692311,77.244004,2
1696,28.5692469,77.2486371,2
1697,28.5692816,77.2412693,2
1698,28.569335,77.2388529,2
1699,28.5694041,77.2023943,11
1700,28.5694043,77.1649058,12
1701,28.5694195,77.2025922,11
1702,28.5694281,77.1933821,11
1703,28.5695676,77.0641526,-1
1704,28.5695905,77.248199,2
1705,28.5696026,77.1938516,11
1706,28.5696397,77.1950523,11
1707,28.5696878,77.0643221,-1
1708,28.569753,77.2673093,14
1709,28.5697886,77.1783234,11
1710,28.5697983,77.2421803,2
1711,28.5698108,77.2040764,11
1712,28.569869,77.1949192,11
1713,28.5699189,77.2411016,2
1714,28.5699603,77.2677384,14
1715,28.5699619,77.1964421,11
1716,28.5699781,77.2381686,2
1717,28.5700012,77.2381215,2
1718,28.5700091,77.2410284,2
1719,28.5700511,77.2417581,2
1720,28.5700667,77.2387905,2
1721,28.5700995,77.2388781,2
1722,28.5701843,77.1864987,11
1723,28.5702091,77.2375367,2
1724,28.5702267,77.1852802,11
1725,28.5702563,77.1680255,12
1726,28.5702683,77.2392783,2
1727,28.5702865,77.2668244,14
1728,28.5703187,77.2369366,2
1729,28.570349,76.9073555,-1
1730,28.5704008,76.9043407,-1
1731,28.5704193,77.2371359,2
1732,28.5704357,77.1965682,11
1733,28.5704442,77.2362899,2
1734,28.570448,76.9072107,-1
1735,28.5704528,77.1840358,11
1736,28.5704589,77.2369906,2
1737,28.5704608,77.2371259,2
1738,28.5704667,77.2406466,2
1739,28.5704771,77.2370306,2
1740,28.5704851,76.9036618,-1
1741,28.5705024,77.240607,2
1742,28.5705121,77.2368766,2
1743,28.5705375,76.9074736,-1
1744,28.5705427,77.1841536,11
1745,28.5705502,77.2270818,2
1746,28.570565,77.2367354,2
1747,28.5705859,77.240456,2
1748,28.5705987,76.9072214,-1
1749,28.5706052,77.1692211,12
1750,28.5706096,77.2404143,2
1751,28.5706489,77.2363858,2
1752,28.5706695,77.2424491,2
1753,28.5706835,76.9074628,-1
1754,28.5707121,77.2464088,2
1755,28.5707216,77.2366313,2
1756,28.570759,77.2401156,2
1757,28.570786,77.1634244,12
1758,28.5708038,77.2399593,2
1759,28.5709641,77.1813607,11
1760,28.5710369,77.170663,12
1761,28.5711374,77.2278014,2
1762,28.5712512,77.2598635,-1
1763,28.5712962,77.1781517,11
1764,28.5712997,77.1842925,11
1765,28.5713909,77.1993122,11
1766,28.5714856,77.2373191,2
1767,28.5716405,77.237599,2
1768,28.5717636,77.2373866,2
1769,28.5718728,77.1717512,12
1770,28.5718801,77.1723405,12
1771,28.5721052,77.1375135,-1
1772,28.5721101,77.2375289,2
1773,28.5721181,77.1638274,12
1774,28.5722409,77.1377586,-1
1775,28.5722525,77.1860267,11
1776,28.5722588,77.2359084,2
1777,28.572508,77.1993749,11
1778,28.5725158,77.1389666,-1
1779,28.5725664,77.1623051,12
1780,28.5726139,77.227698,2
1781,28.5726268,77.2717939,-1
1782,28.5726861,77.1973549,11
1783,28.5727203,77.2415881,2
1784,28.5727953,77.1629545,12
1785,28.5728037,77.1731735,12
1786,28.5728705,77.2434369,2
1787,28.572886,77.2459098,2
1788,28.5729505,77.2379447,2
1789,28.5729769,77.2278834,2
1790,28.5730756,77.1635633,12
1791,28.5730786,77.2380576,2
1792,28.5730899,77.2335349,2
1793,28.5731625,77.2458905,2
1794,28.5732231,77.2445457,2
1795,28.5732704,77.24587,2
1796,28.5733376,77.0639396,-1
1797,28.5733815,77.1648013,12
1798,28.5734162,77.1643411,12
1799,28.5734423,77.2062342,11
1800,28.5735096,77.2405364,2
1801,28.5735408,77.2073597,-1
1802,28.573574,77.25884,16
1803,28.5737882,77.2089741,-1
1804,28.573808,77.165199,12
1805,28.5738264,77.0945132,-1
1806,28.573859,77.1842457,11
1807,28.5739311,77.1604995,12
1808,28.5739842,77.2574979,16
1809,28.574037,77.2301605,2
1810,28.5740396,77.1657545,12
1811,28.5740662,77.2290006,2
1812,28.5741262,77.2380129,2
1813,28.5741845,77.208908,-1
1814,28.5742192,77.2394094,2
1815,28.5743301,77.2415223,2
1816,28.5743511,77.1727645,12
1817,28.5744593,77.2291993,2
1818,28.5744997,77.1872498,11
1819,28.5745089,77.2391962,2
1820,28.5745105,77.1668236,12
1821,28.5745439,77.238706,2
1822,28.5745515,77.2378394,2
1823,28.5745561,77.229256,2
1824,28.5746051,77.1980051,11
1825,28.5747681,77.168121,12
1826,28.5748261,77.167559,12
1827,28.5748429,77.2380497,2
